Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
57984.978  2.449 DECam       Blanco/CTIO g       20.21  0.05  0.00 2017ApJ...848L..17C *         
57984.978  2.449 Sinistro    LCO1m       i       18.46  0.10 -0.47 2017Natur.551...64A *         
57984.978  2.449 AltaU47+    Prompt5     r       19.29  0.12  0.00 2017ApJ...848L..24V *         
57984.979  2.450 -           KMTNet/CTIO B       20.82  0.10  0.00 2017Natur.551...71T *         
57984.979  2.450 -           KMTNet/CTIO R       18.81  0.05  0.00 2017Natur.551...71T *         
57984.979  2.450 -           KMTNet/CTIO V       19.51  0.05  0.00 2017Natur.551...71T *         
57984.979  2.450 VIRCAM      VISTA       Ks      17.67  0.03  0.00 2017ApJ...848L..27T *         
57984.980  2.451 -           RC-1000     r       19.12  0.06  0.00 2017arXiv171005448P *         
57984.980  2.451 DECam       Blanco/CTIO u       22.26  0.16  0.00 2017ApJ...848L..17C *         
57984.980  2.451 FourStar    Magellan    J1      17.52  0.01  0.00 2017arXiv171005443D *         
57984.980  2.451 MASTER      OAFA        W       18.80  0.20  0.00 2017ApJ...850L...1L *         
57984.982  2.453 Sinistro    LCO1m       z       18.19  0.20 -0.54 2017Natur.551...64A *         
57984.985  2.456 T80Cam      T80S        r       18.78  0.03  0.00 2017ApJ...848L..29D *         
57984.985  2.456 T80Cam      T80S        r       19.15  0.06  0.00 2017ApJ...848L..29D *         
57984.988  2.459 DK1.5       VLT         i       18.37  0.03  0.00 2017ApJ...848L..27T *         
